diagnosis	hex
ALT	#FF8C00
Angiolip	#FF8C00
CLS	#FF8C00
DDLS	#72C05C
Hib	#72C05C
Lip	#72C05C
Lip spindle	#5D8B3F
Lipblast	#5D8B3F
MLS	#5D8B3F
PLS	#315E26
PMLS	#315E26
SA ost	#D4924D
Syn chondr	#D4924D
Angiofibr ST	#586DBD
CD34PSFT	#586DBD
Desmoid	#586DBD
Desmopl fibr	#5BA7D8
DFSP	#5BA7D8
Hamart fibr	#5BA7D8
LGFMS	#1BB39E
MFS	#994DB1
MIFS/HFLT	#1BB39E
Nod fasc	#1BB39E
SEF	#00758B
SEF_like	#D0603C
SFT	#00758B
UPS	#994DB1
GIST	#D4924D
Melanoma	#785B0D
ESS	#785B0D
Spindle cell	#785B0D
MPNST	#82305C
Neurofibr	#82305C
Schwannoma	#82305C
RMS alv	#C6435E
RMS emb	#C6435E
RMS NOS	#C6435E
RMS scler	#DE8992
SA infl rhabd	#883820
SA lei	#DE8992
BFH	#00758B
TGCT	#D0603C
DSCRCT	#FF1493
ESMCS	#FF1493
Myoep	#994DB1
Myxoma	#DA58AF
OFMT	#DA58AF
PHAT	#DA58AF
SA clear cell	#B992D9
SA epithel	#B992D9
SA Ewing	#B992D9
SA undiff round	#4B3989
Syn sarc	#4B3989
Gran cell tum	#D0603C
PHE	#883820
SA angio	#883820
