lab_no	CINSARC
1001-90	0.5603614925648055
10051-19	-0.7224558321880706
10081-19	-0.6343811362448528
101-11	0.5440174063471195
10136-17	0.6671719789948131
1015-01	0.3200212226884919
10161-17	-0.6907472029080548
10252-19	0.6342801572662579
10265-18	-0.38706018625759114
1027-97	-0.697582491112764
1031-14	0.054816750037907924
10318-18	-0.44404270620596153
10331-17	0.8085312916767285
104-92	-0.5532237438190035
10458-19	0.5960900541987605
10521-20	-0.4820276719702386
10639-17	-0.3703810211234198
1064-18	0.7389324757992973
10656-17	-0.6798874442600339
10734-18	0.7375913932743138
1076-04	-0.6749755814201213
10819-17	-0.07350101951403085
1089-95	0.5645809408284532
10989-17	0.3145365520174516
11092-19	0.6270399890673668
1111-06	0.5224464377441479
1114-96	0.7080082868348779
1116-04	0.45446766526374416
1116-05	-0.03740785506954672
11168-18	-0.49772700638979694
1118-98	-0.6612413708014239
112-96	-0.6311212186863528
11234-19	0.5341781040516238
11250-18	-0.35842148609252167
11378-18	0.26880441744131556
1139-03	0.08589680489275467
1141-06	0.6264853458532563
1142-02	-0.7647544219917407
1142-17	-0.3404146345529041
1145-08	-0.2669501880890315
1146-14	-0.608008397862961
1148-14	-0.41040974429496657
1155-89	0.6914508104177581
11604-19	-0.1563071362367129
11622-18	-0.7783288864505085
11783-18	-0.745625884226402
1179-01	0.4194278888144628
1181-01	-0.7380588630164143
1181-20	0.6880096612501709
11834-22	0.7034589845637845
1186-89	-0.6628462419978206
11881-19	-0.15496451367528707
11888-19	-0.6156922010670121
1195-97	0.23339863546020514
1201-03	-0.8549548211209074
1209-95	-0.6034545158595482
12159-20	-0.5424347846387124
1225-21	-0.692467856160554
123-01	0.5688130158515524
1230-18	0.7045754400937834
124-93	-0.5241914059211138
1248-02	-0.05304933338919379
1257-99	-0.5237157562137232
1258-08	0.6429057759461287
126-11	0.2848740944750434
1262-19	0.6187588412674042
1263-00	-0.6218302958107149
1266-93	0.6576012823831792
1280-04	-0.7930043602555906
1297-05	-0.8106528584318197
1302-02	-0.5719097929251744
1306-94	0.5787704676416587
1310-00	0.12281245531327717
1331-20	-0.4095240312902179
1347-93	0.6118846950099208
1359-89	-0.38707669498918906
1371-10	-0.565881832643323
1388-09	0.3012764522507385
1391-04	0.7503742753348243
1414-00	-0.04853110999730757
1417-99	0.8111224355263158
1429-88	0.4710748657716496
1459-02	-0.6065409900370423
1462-09	0.6519006983930309
1485-88	-0.07988431490001635
1490-89	-0.716583762515275
1496-18	-0.6503002783589543
1496-95	-0.7692354652256325
1518-00	0.5611798461063183
1518-93	-0.3569208337591735
1520-11	-0.588648342889785
1526-08	-0.5516963850442954
1558-06	-0.2663995784962606
1558-97	0.7547533528286986
1575-00	-0.714113090647027
1575-93	-0.3590234996696736
1577-93	0.11703001228828519
1586-94	0.5819303198437826
1588-17	-0.38065988987892296
1591-18	-0.38125818266732114
1596-99	-0.7191685337896567
1618-90	0.7924470604800712
1634-04	0.8221670556020108
1647-98	-0.7066712645395622
1659-94	0.525731840621836
1660-05	0.6034523617991366
1665-94	-0.7611530183611084
1674-06	-0.6810089191112666
168-97	-0.5409819870658468
1684-17	-0.7767721954417222
1696-90	0.7242331358539654
1701-91	0.7524069315945929
1705-11	-0.6158539477545839
171-01	0.754608766857533
1713-91	0.5708911562460621
1719-17	0.626349779153984
1728-05	0.6618813509270025
1731-00	-0.6599621256019226
1731-18	-0.8123762539781654
1743-89	-0.5817333765505532
1744-03	-0.5774095722506345
1748-90	0.5547773051989091
1771-00	-0.4888906212652113
1775-03	0.6727866531369702
1784-05	-0.05349437953768192
1787-94	0.5332388203163567
1792-07	0.7825866291465078
1797-08	-0.7843144086900097
1798-17	0.7156988204336738
1812-02	0.7344358085039598
1815-91	-0.7794329999395733
1824-93	-0.7705512872984861
1835-93	0.6939840186319188
1838-04	-0.7599195756830099
1841-95	-0.2617349798016635
1859-04	-0.7174757035128357
1864-88	0.5744082701429594
1879-92	-0.7044143116033376
1889-94	0.6358883082554104
1893-03	-0.6569046862208823
1894-19	-0.7775522437116946
1898-93	-0.34322265635539617
192-92	0.4915045923885005
1962-91	0.6255171994330887
1970-05	0.6352889708498906
1989-95	-0.6791953016180658
1998-90	-0.5343826507749851
1998-91	0.27053060756738906
2018-14	-0.6018442530899815
2023-98	0.5195906682656143
2033-19	0.5467911588520556
2035-02	0.4825722219498429
2058-14	-0.15570055330071145
2062-95	-0.7299702414270246
2067-92	-0.5079315368715236
2087-93	-0.30898242831971473
2098-94	-0.6750386121440137
211-94	0.1893512360190202
211-99	-0.5052933339876937
2114-04	0.6396859867371127
2119-03	0.134944701569391
2130-02	-0.2703826733424496
2130-99	0.3685819326963251
2137-02	-0.6993122859509203
2137-88	0.48903428083059575
2145-86	-0.49458494724454194
2146-02	0.7796435974661396
2146-03	0.6668051482826866
2146-18	0.3871860046716446
2150-02	0.37268799495869365
