lab_no,shape,hex
871-13,A,#FF8C00
6825-14,A,#FF8C00
3052-14,A,#FF8C00
2740-12,A,#FF8C00
2293-06A,A,#FF8C00
2781-93,A,#FF8C00
2569-10,A,#FF8C00
5796-11,A,#FF8C00
3238-90,A,#FF8C00
3740-06,A,#FF8C00
2977-06,A,#FF8C00
2018-14,A,#FF8C00
1496-18,A,#FF8C00
1297-05,A,#FF8C00
8754-18,A,#FF8C00
3008-00,A,#FF8C00
2189-06,A,#FF8C00
3874-04,A,#FF8C00
2581-07,A,#FF8C00
2658-19,A,#FF8C00
3314-91,A,#FF8C00
469-03,A,#FF8C00
6969-14,A,#FF8C00
10521-20,A,#FF8C00
304-11,A,#FF8C00
985-19,A,#FF8C00
5525-22,A,#FF8C00
9384-16,A,#FF8C00
1665-94,A,#FF8C00
8102-16,A,#FF8C00
2606-93,A,#FF8C00
1225-21,A,#FF8C00
4274-20,A,#FF8C00
8820-18,A,#FF8C00
2649-90,A,#FF8C00
9841-19,A,#FF8C00
10265-18,A,#FF8C00
8530-17,A,#FF8C00
3553-91,A,#FF8C00
1181-01,A,#FF8C00
3269-20,A,#FF8C00
11250-18,A,#FF8C00
1591-18,A,#FF8C00
2067-92,A,#FF8C00
219-00,A,#FF8C00
1280-04,A,#FF8C00
2631-93,A,#FF8C00
9306-17,A,#FF8C00
2541-06,A,#FF8C00
2657-03,A,#FF8C00
7402-18,A,#FF8C00
67-23,A,#FF8C00
710-89,B,#FF8C00
2145-86,B,#FF8C00
5670-08,B,#FF8C00
1310-00,C,#FF8C00
3910-01,C,#FF8C00
2186-08,C,#FF8C00
1391-04,C,#FF8C00
805-90,C,#FF8C00
1577-93,C,#FF8C00
2560-05,C,#FF8C00
3128-06,C,#FF8C00
6034-09,C,#FF8C00
3762-07,C,#FF8C00
2806-88,C,#FF8C00
296-02,C,#FF8C00
2244-10,C,#FF8C00
1302-02,C,#FF8C00
7051-18,C,#FF8C00
1748-90,C,#FF8C00
2291-90,C,#FF8C00
2098-94,C,#FF8C00
3363-99,C,#FF8C00
2960-95,C,#FF8C00
1001-90,C,#FF8C00
2991-07,C,#FF8C00
8318-19,C,#FF8C00
211-94,C,#FF8C00
790-14,A,#72C05C
1520-11,A,#72C05C
436-98,A,#72C05C
1815-91,A,#72C05C
1588-17,A,#72C05C
2035-02,A,#72C05C
430-94,A,#72C05C
445-18,A,#72C05C
3416-90,A,#72C05C
7708-16,A,#72C05C
3670-12,A,#72C05C
4314-17,A,#72C05C
1181-20,A,#72C05C
9374-17,A,#72C05C
5047-19,A,#72C05C
1116-04,A,#72C05C
5530-18,A,#72C05C
8509-16,A,#72C05C
5852-16,A,#72C05C
612-12,A,#72C05C
3145-06A,A,#72C05C
10989-17,A,#72C05C
5367-18,A,#72C05C
2164-05B,A,#72C05C
4377-20,A,#72C05C
8567-16,A,#72C05C
398-19,A,#72C05C
8705-17,A,#72C05C
6227-18,A,#72C05C
10318-18,A,#72C05C
7160-17,A,#72C05C
425-06,B,#72C05C
1771-00,B,#72C05C
743-10,B,#72C05C
