lab_no	Silhouette_Score
871-13	-0.04501277651577988
6825-14	-0.05381528421447888
3052-14	0.015606267924339803
2740-12	-0.037813907792857496
2293-06A	-0.03234626055910981
2781-93	-0.01950368483303103
2569-10	-0.03467740580134959
5796-11	-0.02796691544643596
3238-90	-0.04998101427915433
3740-06	-0.05796665053743116
2977-06	-0.02438403582479217
2018-14	-0.03337455427889555
1496-18	-0.007617680759145344
1297-05	0.01577952525081794
8754-18	-0.03624745954999464
3008-00	0.0037792966679410372
2189-06	-0.009624034612881896
3874-04	-0.1307806313077529
2581-07	-0.10276430735851456
2658-19	0.03604690386042708
3314-91	0.0022967259830382054
469-03	-0.03828480837438017
6969-14	-0.02744842863632416
10521-20	0.014976312090268276
304-11	2.914426641525265e-4
985-19	0.02871466690266622
5525-22	0.025028862049156986
9384-16	0.03123547227801591
1665-94	-0.07990358568911299
8102-16	0.032151833465908955
2606-93	0.03440729199641094
1225-21	0.04701289155329425
4274-20	0.025669829681850557
8820-18	0.022143381123872104
2649-90	0.003578964627604668
9841-19	-0.017318054461907317
10265-18	0.005245250866334875
8530-17	-0.013459003950037813
3553-91	0.009788383413057298
1181-01	-0.01670315110298895
3269-20	-0.04437817289760527
11250-18	0.023801123587355436
1591-18	-0.03302994325268856
2067-92	0.04937398029705278
219-00	0.03838156929249544
1280-04	0.019660388969861928
2631-93	0.04865065286109941
9306-17	0.023536787086127133
2541-06	-0.006624861534520391
2657-03	-0.09886566357060479
7402-18	0.018451323435325358
67-23	-0.163212534270869
4048-10	0.22758898099329442
1797-08	0.16518148790739562
710-89	0.015059020502827071
2145-86	0.029631114478493634
5670-08	0.008452039458428507
4591-08	0.06300219756347192
4356-08	0.06564455066000119
690-09	0.02158990435997843
9752-16	0.05825245300851072
8792-17	-0.008588502917483561
8081-17	0.02675622222390627
8231-17	0.17516937725059054
3823-09	0.13152013489127504
8230-17	0.10332370624634714
647-09	0.09651794574333253
1705-11	0.04831561664008561
2524-89	0.16733758313706765
5972-16	-0.006201658853411559
1310-00	-0.12225251035053718
3910-01	-0.09336230810078312
2186-08	-0.11206198826050849
1391-04	-0.05240470091245197
805-90	-0.08697320746963395
1577-93	-0.07436151970339597
2560-05	-0.10885876431092287
3128-06	-0.08334448312899306
6034-09	-0.03622090774960359
3762-07	-0.1619492799460853
2806-88	-0.09149035391333661
296-02	-0.10209284831044708
2244-10	-0.1050487298299556
1302-02	-0.08294831249491383
7051-18	-0.08686336821499423
1748-90	-0.049777535805792944
2291-90	-0.14565165994940235
2098-94	-0.14237646000320836
3363-99	-0.10145925883917692
2960-95	-0.07405384853462985
1001-90	-0.11337831574896809
2991-07	-0.20809686338329697
8318-19	-0.12711120796156938
211-94	-0.1328858743595473
790-14	-0.03381080781910507
1520-11	-0.14184286437845242
436-98	-0.16688558966052092
1815-91	-0.09058652073938293
1588-17	-0.14889195880884934
2035-02	-0.08412410085062957
430-94	-0.06856556724779625
445-18	-0.091260486918019
3416-90	-0.030394983058329588
7708-16	-0.10316439726253947
3670-12	-0.14582153184928948
4314-17	-0.12061126657428929
1181-20	-0.09207626133241424
9374-17	-0.01233847610683312
5047-19	-0.14881740197404847
1116-04	-0.11171649327012799
5530-18	-0.10960564839259636
8509-16	-0.02569522127190805
5852-16	5.006336774789125e-4
612-12	-0.013837953277235596
3145-06A	0.0025967119558199443
10989-17	-0.03380016206605557
5367-18	-0.038654049966271274
2164-05B	-0.04529078848672928
4377-20	-0.16957879477409313
8567-16	-0.2209684351190726
398-19	-0.03300728856660004
8705-17	-0.06714880724308796
6227-18	-0.17205660269926265
10318-18	-0.1616709060773103
7160-17	-0.05102781774313994
112-96	0.09453752730178645
664-18	0.15220016472521425
753-03	0.1392583768593621
1526-08	0.15081091554675607
5706-19	-0.20400726813502199
669-96	0.09584895787103005
6792-15	0.1310913295894101
10161-17	0.10477249971421686
3054-92	0.150035000241358
2857-92	0.13545178346692968
2494-18	0.1442351155618507
520-05B	0.023486842833447714
1371-10	0.16108328841698405
815-10	0.14517159812254815
7064-17	0.01237494859523457
7685-14	0.1032409905505082
5270-18	0.05601719442008656
1146-14	0.09519759829737426
4014-18	0.11127230854946528
7936-17	0.12319904544620609
8110-19	0.11393676404805378
7766-16	0.12486973683106087
4021-20	0.032135387882023754
2058-14	0.16055706665241254
3293-11	-0.11345826829764712
2591-08	0.15110610940111605
402-14	0.16979392233087978
2130-02	0.1746479232477624
1647-98	0.17262438215883402
795-03	0.1702103212249744
8533-16	0.15507683443791667
3167-20	0.15294895185123897
3223-20	0.0471136745772023
3168-20	0.22613365233001237
3221-20	0.1861564199013137
3222-20	0.18657828186702985
8102-22	0.19025155406493313
5149-18	0.1548050575963513
536-00	0.13988221905245976
5081-14	0.050733207977453766
4840-13	0.21828531164674878
168-97	0.23228026363745333
104-92	0.1872469732455328
5241-06	0.14765245450151998
7931-19	0.2177393725784977
11881-19	0.2050708560407027
3371-22	0.01800938186904181
3372-22	0.1523021889729764
4716-22	0.20082326903860956
5333-17	0.07051540482514426
11622-18	-0.10121676359270496
4748-20	0.17086859073417246
669-17	0.22490820106532938
2220-18	0.263579624194898
9044-15	0.2476297111363432
7405-17	0.18194181678294086
3592-20	0.2508067482207015
4529-20	0.17712389716289
4054-19	0.2407018822177119
10819-17	0.13417356992384488
4697-17	0.15704323788501978
10656-17	0.22020508048624957
5081-17	0.1822366661955486
5139-20	0.16535956031059282
1894-19	0.13526897529198764
1118-98	0.31626796344724944
4098-00	0.2672348910081706
534-90	0.09668525998116269
1859-04	0.08674219509053314
425-06	0.25949053558888896
1771-00	0.20828978848746416
743-10	0.22644361314258454
428-06	0.3212797382514709
409-06	0.32068683560551947
3301-90	0.23976422112469034
5689-08	0.28037529219010077
6146-12	0.26973493401746074
424-06	0.24404037642616092
1331-20	0.2875480225506875
3000-93	0.23784082647652147
426-06	0.28903323710056517
423-06	0.3173032262851194
427-06	0.26705493774767924
325-00	0.29639127259704723
2777-94	0.17038203341565447
1076-04	0.2117373546506359
6545-13	0.17573605994109576
3458-17	0.2500205458600518
1743-89	0.23612622280225512
1838-04	0.2156777334764979
9562-17	0.1507162998851736
2176-91	0.23081674419954976
1731-00	0.2326932644538643
2433-02	0.20561545900225214
3490-00	0.24865988385677934
3252-04	0.21994212438055047
2611-96	0.22436410405346618
1496-95	0.12920704790620427
1841-95	0.026833180679358228
1596-99	0.018650719883433458
2986-93	0.026705694037117114
275-99	-0.058290006617216734
522-89	0.03498120357489378
2435-90	0.02228116173387209
851-00	-0.060884633717250704
2816-91	-0.017039134912604195
7321-19	0.054326132659163626
5323-09	-0.002025304101279327
3306-90	0.03105937314984792
1674-06	0.0049579364436518674
612-05	-0.002340162332485654
7052-18	-0.015589107113256033
1186-89	-0.026491402959096577
6045-09	0.04805168171338216
6879-11	0.024216574714127824
469-06	0.0280928127183715
574-11	0.004781300121532539
1684-17	0.022967569030298993
977-89	-0.04051120761717181
2458-96	-0.12076406299831746
616-91	-0.013583585805813786
5133-07	-0.007063777780330423
5607-06	0.06286573541623483
9664-19	0.016880763502734836
1490-89	-0.03816994212151868
7416-16	0.007254909143858779
1575-00	0.020190812292048447
11168-18	-0.07576997724807467
1575-93	-0.028134528563148225
6335-12	0.044275414974530476
6163-16	-0.17014410650029166
5608-15	-0.1368266138196031
7352-18	-0.031271340053070106
1263-00	-0.06801056089080085
4194-07	-0.19311251305650176
2870-20	0.015490251806894131
2605-19	0.07009768123864174
4696-18	-0.021925989246449326
